"s.no","helpfulVoteCount","rating","reviewPosition","verifiedPurchase","sentiment_score","Membership_Years_x","Availability_Code","Age","Membership_Years_y","Login_Frequency","Session_Duration_Avg","Pages_Per_Session","Cart_Abandonment_Rate","Wishlist_Items","Total_Purchases","Average_Order_Value","Days_Since_Last_Purchase","Discount_Usage_Rate","Returns_Rate","Email_Open_Rate","Customer_Service_Calls","Product_Reviews_Written","Social_Media_Engagement_Score","Mobile_App_Usage","Payment_Method_Diversity","Lifetime_Value","Credit_Balance","Churned","Gender","Sentiment_Label"
"0","0","5.0","1","False","0.29202381","2.9","2","43","2.9","14.0","27.4","6.0","","3","9.0","94.72","34","46.4","2.0","17.9","9","4","16.3","20.8","1","953.33","2278","0","Male","Positive"
"3","0","5.0","3","False","0.307948718","2.6","2","56","2.6","10.0","38.4","14.8","41.7","9","15.0","147.33","47","44.1","5.4","41.4","2","5","85.9","31.0","3","2340.92","2674","0","Female","Positive"
"5","0","5.0","5","False","0.291282051","3.5","2","35","3.5","6.0","21.9","6.9","74.4","0","12.0","190.97","29","60.2","11.0","16.0","8","2","14.3","11.2","2","1995.43","2418","1","Male","Positive"
"6","0","5.0","1","False","0.34","1.9","1","56","","24.0","46.4","13.9","36.2","5","","169.58","10","27.8","5.5","35.5","4","6","68.8","42.9","5","3003.57","2657","0","Male","Positive"
"10","0","5.0","4","True","0.266666667","0.9","0","32","0.9","0.0","12.3","2.9","73.5","0","5.0","118.0","23","46.2","5.1","0.0","11","2","17.0","8.0","1","599.41","498","1","male","Positive"
"11","0","5.0","5","True","0.8","0.6","0","32","0.6","","12.1","5.6","77.2","0","5.0","78.88","36","72.0","4.8","4.0","7","1","0.0","17.7","2","335.92","1369","1","Female","Positive"
"14","0","5.0","8","True","0.516666667","3.7","2","18","3.7","14.0","33.5","10.3","48.4","2","15.0","123.0","8","40.0","3.7","16.1","6","4","28.3","23.3","3","1618.51","3624","0","Female","Positive"
"15","0","5.0","9","True","0.253333333","","0","31","1.4","24.0","50.8","18.0","44.0","5","18.0","91.92","55","83.8","2.5","45.0","4","5","81.6","26.5","1","1692.54","2564","0","Female","Positive"
"16","0","5.0","10","True","0.7","0.9","0","25","0.9","4.0","12.4","3.7","68.5","1","4.0","116.39","78","42.6","7.0","0.0","9","1","0.0","15.5","1","503.26","1048","0","Female","Positive"
"18","0","5.0","1","True","0.234375","2.0","1","27","2.0","0.0","20.3","9.8","59.8","2","11.0","103.12","5","6.5","18.6","12.5","4","0","3.4","17.5","3","1096.88","54","0","Female","Positive"
"20","0","5.0","3","True","0.6","1.2","0","55","1.2","24.0","50.3","16.0","25.2","9","24.0","108.52","4","33.0","11.6","72.1","1","5","76.7","37.8","1","3063.29","4561","0","female","Positive"
"22","0","5.0","5","True","0.5","2.7","2","38","","30.0","45.1","10.7","29.6","6","22.1","144.17","8","25.8","1.6","14.8","5","6","40.8","27.5","1","2051.85","4088","0","Male","Positive"
"23","3","5.0","6","True","0.3825","2.7","2","20","2.7","27.0","49.7","14.4","29.3","11","20.0","136.08","81","19.4","0.1","43.0","2","9","65.3","37.3","2","3014.34","1725","1","female","Positive"
"24","0","5.0","7","True","0.6","3.3","2","31","3.3","18.0","40.1","12.8","45.5","7","","113.36","39","22.1","2.2","38.0","5","8","68.3","45.2","2","1935.29","2465","0","Female","Positive"
"25","2","3.0","8","True","-0.11","3.9","2","39","3.9","14.0","19.6","11.6","65.3","7","10.0","218.46","15","","16.2","23.3","8","6","43.5","25.4","3","1846.48","2511","0","female","Negative"
"27","0","5.0","10","True","0.35","0.4","0","42","0.4","17.0","34.6","8.5","48.7","8","12.0","131.02","16","45.5","7.5","21.2","3","3","24.4","21.3","1","1709.74","3002","0","Male","Positive"
"29","0","5.0","2","True","0.326686508","4.4","2","34","4.4","12.0","42.1","13.3","38.3","8","17.0","65.22","10","32.3","5.9","23.8","1","2","38.8","28.8","2","1226.33","1889","0","male","Positive"
"32","0","5.0","5","True","0.45","7.5","2","37","7.5","29.0","48.9","15.9","27.8","14","22.0","134.1","34","22.2","5.1","33.6","1","10","59.0","39.6","5","3367.15","2544","1","male","Positive"
"33","6","5.0","6","True","0.329315476","4.9","2","25","4.9","17.0","27.6","14.1","42.1","3","19.5","172.03","1","40.8","7.2","13.1","7","4","32.8","19.9","1","2672.57","3723","1","Male","Positive"
"39","0","5.0","2","True","0.365","3.2","2","40","3.2","18.0","27.0","9.9","51.5","1","11.0","145.04","68","62.0","7.9","0.0","1","1","27.2","7.5","2","1506.54","2966","0","Male","Positive"
"41","0","5.0","4","True","0.498148148","2.2","1","40","2.2","26.0","32.6","10.5","53.8","8","15.0","61.15","4","65.0","7.6","33.5","12","5","26.4","18.1","2","935.84","2753","0","Female","Positive"
