s.no,helpfulVoteCount,productASIN,productVariant,rating,reviewID,reviewMetadata,reviewPosition,reviewTitle,reviewURL,verifiedPurchase,sentiment_score,Country,City,Membership_Years,,,,,,,,
0,0,B0DLGB4RYH,Color: BlackSize: X-Large,5,R2AUQFPJY5ERCZ,"Reviewed in the United States on March 6, 2025",1,Stylish and Lightweight COOFANDY Polo Shirt,https://www.amazon.com/review/R2AUQFPJY5ERCZ,FALSE,0.29202381,France,Marseille,2.9,,,,,,,,
1,0,B0DRXF62JH,Color: Bblack Grey NavySize: 3X-Large,5,R1YNLJ0QFLB1VT,"Reviewed in the United States on March 7, 2025",1,New favorite shirts,https://www.amazon.com/review/R1YNLJ0QFLB1VT,FALSE,0.56,UK,Manchester,1.6,,,,,,,,
2,0,B0DRXF62JH,Color: Grey Navy DuckblueSize: Medium,4,R11LIYW9RMDK9R,"Reviewed in the United States on February 27, 2025",2,Incredibly Good Deal,https://www.amazon.com/review/R11LIYW9RMDK9R,FALSE,0.192321429,Canada,Vancouver,2.9,,,,,,,,
3,0,B0DRXF62JH,Color: Black Duckblue WineredSize: X-Large,5,R3K9X391DJNTPZ,"Reviewed in the United States on February 26, 2025",3,Higher quality & breathable 3-pack shirt set that is at an outstanding price point!,https://www.amazon.com/review/R3K9X391DJNTPZ,FALSE,0.307948718,USA,New York,2.6,,,,,,,,
4,0,B0DRXF62JH,Color: Bblack Grey NavySize: X-Large,5,RP17IW9ZKENDZ,"Reviewed in the United States on February 20, 2025",4,Pocket Polos Looks Good,https://www.amazon.com/review/RP17IW9ZKENDZ,FALSE,0.25,India,Delhi,3.1,,,,,,,,
5,0,B0DRXF62JH,Color: Black Green GreySize: X-Large,5,ROIM60Q6IEMKG,"Reviewed in the United States on February 20, 2025",5,Great fit and comfortable,https://www.amazon.com/review/ROIM60Q6IEMKG,FALSE,0.291282051,Japan,Tokyo,3.5,,,,,,,,
6,0,B0DK5FZ325,Color: Iced Aqua StripeSize: X-Large,5,R32ITC0YLS6BKU,"Reviewed in the United States on February 14, 2025",1,A Golf Shirt That's As Smooth As Your Best Shot,https://www.amazon.com/review/R32ITC0YLS6BKU,FALSE,0.34,Germany,Berlin,1.9,,,,,,,,
7,3,B0BGXTC1FR,"Size: X-LargeColor: A-blackHeight: 5'6""Weight: 205-210 lb",5,R22QEWKCDTMX5V,"Reviewed in the United States on January 16, 2025",1,Good but know first,https://www.amazon.com/review/R22QEWKCDTMX5V,TRUE,0.19797619,USA,Houston,1.6,,,,,,,,
8,0,B0BGXTC1FR,"Size: XX-LargeColor: A-blackHeight: 6'0""Weight: 215-220 lb",5,RRMWKQR41I7U3,"Reviewed in the United States on January 26, 2025",2,Love these shirts.,https://www.amazon.com/review/RRMWKQR41I7U3,TRUE,0.433333333,Canada,Calgary,1.3,,,,,,,,
9,0,B0BGXTC1FR,"Size: XX-LargeColor: A-greyHeight: 5'10""",4,R15UAFNQ7IRW3L,"Reviewed in the United States on December 13, 2024",3,Fits great,https://www.amazon.com/review/R15UAFNQ7IRW3L,TRUE,0.233333333,USA,New York,3.6,,,,,,,,
